sweep,digest,kind,name,value
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.LEE[0].match_dates,"6 items, sha f7a87904"
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.LEE[0].note,enters at round two
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.LEE[0].start_date,2026-08-26
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.LIV[0].competition,League Cup
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.LIV[0].match_dates,"5 items, sha 3f0a0705"
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.LIV[0].note,enters at round three as a European qualifier
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.LIV[0].start_date,2026-09-15
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.MCI[0].competition,League Cup
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.MCI[0].match_dates,"5 items, sha 3f0a0705"
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.MCI[0].note,enters at round three as a European qualifier
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.MCI[0].start_date,2026-09-15
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.MUN[0].competition,League Cup
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.MUN[0].match_dates,"5 items, sha 3f0a0705"
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.MUN[0].note,enters at round three as a European qualifier
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.MUN[0].start_date,2026-09-15
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.NEW[0].competition,League Cup
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.NEW[0].match_dates,"6 items, sha f7a87904"
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.NEW[0].note,enters at round two
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.NEW[0].start_date,2026-08-26
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.NFO[0].competition,League Cup
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.NFO[0].match_dates,"6 items, sha f7a87904"
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.NFO[0].note,enters at round two
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.NFO[0].start_date,2026-08-26
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.SUN[0].competition,League Cup
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.SUN[0].match_dates,"5 items, sha 3f0a0705"
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.SUN[0].note,enters at round three as a European qualifier
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.SUN[0].start_date,2026-09-15
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.TOT[0].competition,League Cup
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.TOT[0].match_dates,"6 items, sha f7a87904"
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.TOT[0].note,enters at round two
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.TOT[0].start_date,2026-08-26
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_penalty,0.97
MINHL#1,ae6ec815e6a5,config,congestion.european_campaigns.ARS[0].competition,UCL
MINHL#1,ae6ec815e6a5,config,congestion.european_campaigns.ARS[0].start_date,2026-09-08
MINHL#1,ae6ec815e6a5,config,congestion.european_campaigns.AVL[0].competition,UCL
MINHL#1,ae6ec815e6a5,config,congestion.european_campaigns.AVL[0].start_date,2026-09-08
MINHL#1,ae6ec815e6a5,config,congestion.european_campaigns.BHA[0].competition,UECL
MINHL#1,ae6ec815e6a5,config,congestion.european_campaigns.BHA[0].end_date,2026-08-27
MINHL#1,ae6ec815e6a5,config,congestion.european_campaigns.BHA[0].match_dates,"2 items, sha 488b402a"
MINHL#1,ae6ec815e6a5,config,congestion.european_campaigns.BHA[0].note,"play-off round, two legs; progression not yet known"
MINHL#1,ae6ec815e6a5,config,congestion.european_campaigns.BHA[0].start_date,2026-08-20
MINHL#1,ae6ec815e6a5,config,congestion.european_campaigns.BHA[1].competition,UECL
MINHL#1,ae6ec815e6a5,config,congestion.european_campaigns.BHA[1].note,"league phase, conditional on winning the play-off"
MINHL#1,ae6ec815e6a5,config,congestion.european_campaigns.BHA[1].start_date,2026-10-15
MINHL#1,ae6ec815e6a5,config,congestion.european_campaigns.BOU[0].competition,UEL
MINHL#1,ae6ec815e6a5,config,congestion.european_campaigns.BOU[0].start_date,2026-09-16
MINHL#1,ae6ec815e6a5,config,congestion.european_campaigns.CRY[0].competition,UEL
MINHL#1,ae6ec815e6a5,config,congestion.european_campaigns.CRY[0].start_date,2026-09-16
MINHL#1,ae6ec815e6a5,config,congestion.european_campaigns.LIV[0].competition,UCL
MINHL#1,ae6ec815e6a5,config,congestion.european_campaigns.LIV[0].start_date,2026-09-08
MINHL#1,ae6ec815e6a5,config,congestion.european_campaigns.MCI[0].competition,UCL
MINHL#1,ae6ec815e6a5,config,congestion.european_campaigns.MCI[0].start_date,2026-09-08
MINHL#1,ae6ec815e6a5,config,congestion.european_campaigns.MUN[0].competition,UCL
MINHL#1,ae6ec815e6a5,config,congestion.european_campaigns.MUN[0].start_date,2026-09-08
MINHL#1,ae6ec815e6a5,config,congestion.european_campaigns.SUN[0].competition,UEL
MINHL#1,ae6ec815e6a5,config,congestion.european_campaigns.SUN[0].start_date,2026-09-16
MINHL#1,ae6ec815e6a5,config,congestion.long_haul_penalty,0.86
MINHL#1,ae6ec815e6a5,config,congestion.long_haul_regions,"2 items, sha 925816c9"
MINHL#1,ae6ec815e6a5,config,congestion.post_break_penalty,1
MINHL#1,ae6ec815e6a5,config,congestion.regular_international_regions,"5 items, sha 99456437"
MINHL#1,ae6ec815e6a5,config,congestion.short_rest_penalty,1
MINHL#1,ae6ec815e6a5,config,congestion.status_last_verified,2026-08-04
MINHL#1,ae6ec815e6a5,config,congestion.ucl_penalty,1
MINHL#1,ae6ec815e6a5,config,congestion.uecl_penalty,1
MINHL#1,ae6ec815e6a5,config,congestion.uel_penalty,1
MINHL#1,ae6ec815e6a5,config,congestion.very_short_rest_penalty,1
MINHL#1,ae6ec815e6a5,config,review_policy.always_act_on_ruled_out_starter,true
MINHL#1,ae6ec815e6a5,config,review_policy.bank_transfers_up_to,5
MINHL#1,ae6ec815e6a5,config,review_policy.free_transfer_value,2
MINHL#1,ae6ec815e6a5,config,review_policy.max_hits_per_week,1
MINHL#1,ae6ec815e6a5,config,review_policy.min_gain_for_free_transfer,0.4
MINHL#1,ae6ec815e6a5,config,review_policy.min_net_gain_for_minus_4,3
MINHL#1,ae6ec815e6a5,config,review_policy.rules,"8 items, sha ead95ae5"
MINHL#1,ae6ec815e6a5,config,review_policy.scheduled_run_lead_hours,6
MINHL#1,ae6ec815e6a5,config,role_risk.confirmed_starters,"4 items, sha 0a0f53ae"
MINHL#1,ae6ec815e6a5,config,role_risk.new_coach_clubs,"10 items, sha 3abb2b37"
MINHL#1,ae6ec815e6a5,config,role_risk.new_coach_gameweeks,6
MINHL#1,ae6ec815e6a5,config,role_risk.new_coach_penalty,1
MINHL#1,ae6ec815e6a5,config,role_risk.new_signing_gameweeks,5
MINHL#1,ae6ec815e6a5,config,role_risk.new_signing_penalty,0.88
MINHL#1,ae6ec815e6a5,config,weights.band_strength,0
MINHL#1,ae6ec815e6a5,config,weights.bench_weight,0.1
MINHL#1,ae6ec815e6a5,config,weights.blank_run_penalty,0.75
MINHL#1,ae6ec815e6a5,config,weights.blend_minutes_k,5
MINHL#1,ae6ec815e6a5,config,weights.blend_rate_k,8
MINHL#1,ae6ec815e6a5,config,weights.bonus_prior_weight,0.5
MINHL#1,ae6ec815e6a5,config,weights.bonus_weight,1.5
MINHL#1,ae6ec815e6a5,config,weights.defcon_clean_coupling,0.3
MINHL#1,ae6ec815e6a5,config,weights.fixture_horizon,5
MINHL#1,ae6ec815e6a5,config,weights.fixture_weight,0.65
MINHL#1,ae6ec815e6a5,config,weights.league_shrink_k,8
MINHL#1,ae6ec815e6a5,config,weights.minutes_half_life,4
MINHL#1,ae6ec815e6a5,config,weights.minutes_weight,1.25
MINHL#1,ae6ec815e6a5,config,weights.minutes_weight_by_position.DEF,1
MINHL#1,ae6ec815e6a5,config,weights.minutes_weight_by_position.FWD,1
MINHL#1,ae6ec815e6a5,config,weights.minutes_weight_by_position.GKP,1
MINHL#1,ae6ec815e6a5,config,weights.minutes_weight_by_position.MID,0.75
MINHL#1,ae6ec815e6a5,config,weights.prior_half_life,0
MINHL#1,ae6ec815e6a5,config,weights.rate_half_life,0
MINHL#1,ae6ec815e6a5,config,weights.rest_gameweeks,2
MINHL#1,ae6ec815e6a5,config,weights.rest_minutes_factor,0.83
MINHL#1,ae6ec815e6a5,config,weights.rest_players,"17 items, sha 98db8aaa"
MINHL#1,ae6ec815e6a5,config,weights.rest_regions,[] (empty)
MINHL#1,ae6ec815e6a5,config,weights.set_piece_weight,0
MINHL#1,ae6ec815e6a5,config,weights.tournament_absences[0].matches,6
MINHL#1,ae6ec815e6a5,config,weights.tournament_absences[0].name,AFCON 2025 — Senegal (winners)
MINHL#1,ae6ec815e6a5,config,weights.tournament_absences[0].players,"4 items, sha bd8f6665"
MINHL#1,ae6ec815e6a5,config,weights.tournament_absences[1].matches,6
MINHL#1,ae6ec815e6a5,config,weights.tournament_absences[1].name,AFCON 2025 — Nigeria (third place)
MINHL#1,ae6ec815e6a5,config,weights.tournament_absences[1].players,"3 items, sha e65e3ff8"
MINHL#1,ae6ec815e6a5,config,weights.tournament_absences[2].matches,6
MINHL#1,ae6ec815e6a5,config,weights.tournament_absences[2].name,"AFCON 2025 — Morocco (hosts, semi-finalists)"
MINHL#1,ae6ec815e6a5,config,weights.tournament_absences[2].players,"4 items, sha a13bd6b5"
MINHL#1,ae6ec815e6a5,config,weights.tournament_absences[3].matches,6
MINHL#1,ae6ec815e6a5,config,weights.tournament_absences[3].name,AFCON 2025 — Egypt (semi-finalists)
MINHL#1,ae6ec815e6a5,config,weights.tournament_absences[3].players,"1 items, sha b6bd732f"
MINHL#1,ae6ec815e6a5,config,weights.tournament_absences[4].matches,5
MINHL#1,ae6ec815e6a5,config,weights.tournament_absences[4].name,AFCON 2025 — Ivory Coast (quarter-finalists)
MINHL#1,ae6ec815e6a5,config,weights.tournament_absences[4].players,"4 items, sha 9ed65187"
MINHL#1,ae6ec815e6a5,config,weights.tournament_absences[5].matches,3
MINHL#1,ae6ec815e6a5,config,weights.tournament_absences[5].name,AFCON 2025 — group and last-16 exits
MINHL#1,ae6ec815e6a5,config,weights.tournament_absences[5].players,"4 items, sha 52033c1b"
MINHL#1,ae6ec815e6a5,env,(none set),the shipped defaults ran
