sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
BLENDLO#1,1786721062-875311,BlendRateK=8 (ships),0,true,2024-25,2023-24,6,33,5,false,1940,1762,33,4,58.78787878787879,53.39393939393939,,,,,,,1659,50.27272727272727,1503,45.54545454545455,0,0,0,0,8,55,5f44285da178,-,none
BLENDLO#1,1786721062-875311,BlendRateK=8 (ships),0,true,2025-26,2024-25,6,33,5,false,1865,1742,31,3,56.515151515151516,52.78787878787879,,,,,,,1660,50.303030303030305,1519,46.03030303030303,0,0,0,0,8,55,0dc2d2b17e58,-,none
BLENDLO#1,1786721062-875311,BlendRateK=8 (ships),0,true,2020-21,2019-20,11,28,5,false,1617,1389,24,1,57.75,49.607142857142854,,,,,,,1387,49.535714285714285,1212,43.285714285714285,0,0,0,0,8,55,dac65f49e6c3,-,none
BLENDLO#1,1786721062-875311,BlendRateK=8 (ships),0,true,2021-22,2020-21,11,28,5,false,1521,1604,32,6,54.32142857142857,57.285714285714285,,,,,,,1632,58.285714285714285,1444,51.57142857142857,0,0,0,0,8,55,b9a408253035,-,none
BLENDLO#1,1786721062-875311,BlendRateK=8 (ships),0,true,2022-23,2021-22,11,28,5,false,1554,1548,30,4,55.5,55.285714285714285,,,,,,,1450,51.785714285714285,1364,48.714285714285715,0,0,0,0,8,55,f82a462d3eb2,-,none
BLENDLO#1,1786721062-875311,BlendRateK=8 (ships),0,true,2023-24,2022-23,11,28,5,false,1710,1424,27,1,61.07142857142857,50.857142857142854,,,,,,,1415,50.535714285714285,1257,44.892857142857146,0,0,0,0,8,55,025d70cb5565,-,none
BLENDLO#1,1786721062-875311,BlendRateK=8 (ships),0,true,2024-25,2023-24,11,28,5,false,1776,1704,26,1,63.42857142857143,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,0,0,0,0,8,55,d7639030dcde,-,none
BLENDLO#1,1786721062-875311,BlendRateK=8 (ships),0,true,2025-26,2024-25,11,28,5,false,1525,1489,24,0,54.464285714285715,53.17857142857143,,,,,,,1461,52.17857142857143,1304,46.57142857142857,0,0,0,0,8,55,b5c18c2f39b5,-,none
BLENDLO#1,1786721062-875311,BlendRateK=8 (ships),0,true,2020-21,2019-20,16,23,5,false,1319,1189,23,2,57.34782608695652,51.69565217391305,,,,,,,1155,50.21739130434783,1042,45.30434782608695,0,0,0,0,8,55,38103e5146cf,-,none
BLENDLO#1,1786721062-875311,BlendRateK=8 (ships),0,true,2021-22,2020-21,16,23,5,false,1324,1260,24,3,57.56521739130435,54.78260869565217,,,,,,,1278,55.56521739130435,1153,50.130434782608695,0,0,0,0,8,55,88076620b267,-,none
BLENDLO#1,1786721062-875311,BlendRateK=8 (ships),0,true,2022-23,2021-22,16,23,5,false,1352,1106,23,2,58.78260869565217,48.08695652173913,,,,,,,1045,45.43478260869565,938,40.78260869565217,0,0,0,0,8,55,f8a4e38b18ca,-,none
BLENDLO#1,1786721062-875311,BlendRateK=8 (ships),0,true,2023-24,2022-23,16,23,5,false,1450,1077,22,1,63.04347826086956,46.82608695652174,,,,,,,1060,46.08695652173913,933,40.56521739130435,0,0,0,0,8,55,36f167db5055,-,none
BLENDLO#1,1786721062-875311,BlendRateK=8 (ships),0,true,2024-25,2023-24,16,23,5,false,1401,1336,23,2,60.91304347826087,58.08695652173913,,,,,,,1336,58.08695652173913,1143,49.69565217391305,0,0,0,0,8,55,35d18512b286,-,none
BLENDLO#1,1786721062-875311,BlendRateK=8 (ships),0,true,2025-26,2024-25,16,23,5,false,1339,1288,23,3,58.21739130434783,56,,,,,,,1289,56.04347826086956,1127,49,0,0,0,0,8,55,334a04b1176a,-,none
BLENDLO#1,1786721062-875311,BlendRateK=8 (ships),0,true,2020-21,2019-20,21,18,5,false,1021,942,17,2,56.72222222222222,52.333333333333336,,,,,,,963,53.5,845,46.94444444444444,0,0,0,0,8,55,3828563d2a28,-,none
BLENDLO#1,1786721062-875311,BlendRateK=8 (ships),0,true,2021-22,2020-21,21,18,5,false,1002,944,19,2,55.666666666666664,52.44444444444444,,,,,,,962,53.44444444444444,855,47.5,0,0,0,0,8,55,2614de13199f,-,none
BLENDLO#1,1786721062-875311,BlendRateK=8 (ships),0,true,2022-23,2021-22,21,18,5,false,1164,1181,14,0,64.66666666666667,65.61111111111111,,,,,,,1171,65.05555555555556,1032,57.333333333333336,0,0,0,0,8,55,31d9909a9a64,-,none
BLENDLO#1,1786721062-875311,BlendRateK=8 (ships),0,true,2023-24,2022-23,21,18,5,false,1199,909,17,1,66.61111111111111,50.5,,,,,,,905,50.27777777777778,796,44.22222222222222,0,0,0,0,8,55,5879fc9506cd,-,none
BLENDLO#1,1786721062-875311,BlendRateK=8 (ships),0,true,2024-25,2023-24,21,18,5,false,1081,1047,15,1,60.05555555555556,58.166666666666664,,,,,,,1047,58.166666666666664,912,50.666666666666664,0,0,0,0,8,55,0f4f24f82c7f,-,none
BLENDLO#1,1786721062-875311,BlendRateK=8 (ships),0,true,2025-26,2024-25,21,18,5,false,1049,950,15,1,58.27777777777778,52.77777777777778,,,,,,,927,51.5,841,46.72222222222222,0,0,0,0,8,55,0f8336277f6d,-,none
BLENDLO#1,1786721062-875311,BlendRateK=8 (ships),0,true,2020-21,2019-20,26,13,5,false,682,638,11,0,52.46153846153846,49.07692307692308,,,,,,,646,49.69230769230769,579,44.53846153846154,0,0,0,0,8,55,d47cf2db42a3,-,none
BLENDLO#1,1786721062-875311,BlendRateK=8 (ships),0,true,2021-22,2020-21,26,13,5,false,733,636,15,4,56.38461538461539,48.92307692307692,,,,,,,634,48.76923076923077,578,44.46153846153846,0,0,0,0,8,55,1283622164da,-,none
BLENDLO#1,1786721062-875311,BlendRateK=8 (ships),0,true,2022-23,2021-22,26,13,5,false,887,812,11,0,68.23076923076923,62.46153846153846,,,,,,,808,62.15384615384615,696,53.53846153846154,0,0,0,0,8,55,485d7e3d0d70,-,none
BLENDLO#1,1786721062-875311,BlendRateK=8 (ships),0,true,2023-24,2022-23,26,13,5,false,816,620,11,0,62.76923076923077,47.69230769230769,,,,,,,621,47.76923076923077,550,42.30769230769231,0,0,0,0,8,55,72c93b86408c,-,none
BLENDLO#1,1786721062-875311,BlendRateK=8 (ships),0,true,2024-25,2023-24,26,13,5,false,732,710,9,0,56.30769230769231,54.61538461538461,,,,,,,710,54.61538461538461,637,49,0,0,0,0,8,55,ab53d0f632bd,-,none
BLENDLO#1,1786721062-875311,BlendRateK=8 (ships),0,true,2025-26,2024-25,26,13,5,false,750,761,9,0,57.69230769230769,58.53846153846154,,,,,,,762,58.61538461538461,660,50.76923076923077,0,0,0,0,8,55,e2397dc452c0,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2020-21,2019-20,1,38,5,false,2136,1720,43,7,56.21052631578947,45.26315789473684,,,,,,,1711,45.026315789473685,1471,38.71052631578947,0,0,0,0,3,55,2aadee614ec1,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2021-22,2020-21,1,38,5,false,2155,1940,43,8,56.71052631578947,51.05263157894737,,,,,,,1987,52.28947368421053,1692,44.526315789473685,0,0,0,0,3,55,2ee4dc9e44a7,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2022-23,2021-22,1,38,5,false,2087,1824,38,4,54.921052631578945,48,,,,,,,1845,48.55263157894737,1582,41.63157894736842,0,0,0,0,3,55,fe5b3efc1102,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2023-24,2022-23,1,38,5,false,2302,1796,40,5,60.578947368421055,47.26315789473684,,,,,,,1780,46.8421052631579,1569,41.28947368421053,0,0,0,0,3,55,7df5f95f1759,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2024-25,2023-24,1,38,5,false,2305,1827,37,2,60.6578947368421,48.078947368421055,,,,,,,1825,48.026315789473685,1643,43.23684210526316,0,0,0,0,3,55,5062709cbae7,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2025-26,2024-25,1,38,5,false,2261,1513,34,1,59.5,39.81578947368421,,,,,,,1529,40.23684210526316,1375,36.18421052631579,0,0,0,0,3,55,cdb305de770a,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2020-21,2019-20,6,33,5,false,1917,1712,34,3,58.09090909090909,51.878787878787875,,,,,,,1731,52.45454545454545,1527,46.27272727272727,0,0,0,0,3,55,d7bc912407f1,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2021-22,2020-21,6,33,5,false,1754,1609,34,2,53.15151515151515,48.75757575757576,,,,,,,1615,48.93939393939394,1400,42.42424242424242,0,0,0,0,3,55,be6611ae5307,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2022-23,2021-22,6,33,5,false,1856,1662,34,3,56.24242424242424,50.36363636363637,,,,,,,1708,51.75757575757576,1502,45.515151515151516,0,0,0,0,3,55,7195073a1ac8,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2023-24,2022-23,6,33,5,false,2004,1696,29,1,60.72727272727273,51.39393939393939,,,,,,,1669,50.57575757575758,1451,43.96969696969697,0,0,0,0,3,55,91240e18e9a9,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2024-25,2023-24,6,33,5,false,1939,1847,34,5,58.75757575757576,55.96969696969697,,,,,,,1733,52.515151515151516,1577,47.78787878787879,0,0,0,0,3,55,16c41eabf775,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2025-26,2024-25,6,33,5,false,1892,1674,30,1,57.333333333333336,50.72727272727273,,,,,,,1639,49.666666666666664,1437,43.54545454545455,0,0,0,0,3,55,a792e9a64d58,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2020-21,2019-20,11,28,5,false,1548,1407,29,3,55.285714285714285,50.25,,,,,,,1432,51.142857142857146,1247,44.535714285714285,0,0,0,0,3,55,bf648b43fc67,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2021-22,2020-21,11,28,5,false,1671,1565,31,5,59.67857142857143,55.892857142857146,,,,,,,1593,56.892857142857146,1405,50.17857142857143,0,0,0,0,3,55,ef9f4caab176,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2022-23,2021-22,11,28,5,false,1581,1548,30,5,56.464285714285715,55.285714285714285,,,,,,,1605,57.32142857142857,1397,49.892857142857146,0,0,0,0,3,55,7399ef2c6714,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2023-24,2022-23,11,28,5,false,1622,1418,28,2,57.92857142857143,50.642857142857146,,,,,,,1378,49.214285714285715,1220,43.57142857142857,0,0,0,0,3,55,006eb66f92d6,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2024-25,2023-24,11,28,5,false,1804,1624,24,0,64.42857142857143,58,,,,,,,1624,58,1355,48.392857142857146,0,0,0,0,3,55,8ca8a9d4fbbb,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2025-26,2024-25,11,28,5,false,1593,1489,25,1,56.892857142857146,53.17857142857143,,,,,,,1490,53.214285714285715,1304,46.57142857142857,0,0,0,0,3,55,b5c18c2f39b5,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2020-21,2019-20,16,23,5,false,1334,1189,20,0,58,51.69565217391305,,,,,,,1155,50.21739130434783,1042,45.30434782608695,0,0,0,0,3,55,38103e5146cf,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2021-22,2020-21,16,23,5,false,1351,1202,27,6,58.73913043478261,52.26086956521739,,,,,,,1220,53.04347826086956,1095,47.608695652173914,0,0,0,0,3,55,6a97284977d4,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2022-23,2021-22,16,23,5,false,1377,1171,25,3,59.869565217391305,50.91304347826087,,,,,,,1211,52.65217391304348,1046,45.47826086956522,0,0,0,0,3,55,4ef52e94d033,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2023-24,2022-23,16,23,5,false,1460,1074,23,2,63.47826086956522,46.69565217391305,,,,,,,1034,44.95652173913044,907,39.43478260869565,0,0,0,0,3,55,ba239454f2d7,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2024-25,2023-24,16,23,5,false,1409,1317,21,2,61.26086956521739,57.26086956521739,,,,,,,1317,57.26086956521739,1124,48.869565217391305,0,0,0,0,3,55,1ce639b2413d,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2025-26,2024-25,16,23,5,false,1309,1246,19,0,56.91304347826087,54.17391304347826,,,,,,,1247,54.21739130434783,1085,47.17391304347826,0,0,0,0,3,55,c54e69dc7256,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2020-21,2019-20,21,18,5,false,1036,946,18,2,57.55555555555556,52.55555555555556,,,,,,,946,52.55555555555556,817,45.388888888888886,0,0,0,0,3,55,0b649e675134,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2021-22,2020-21,21,18,5,false,989,944,19,2,54.94444444444444,52.44444444444444,,,,,,,962,53.44444444444444,855,47.5,0,0,0,0,3,55,2614de13199f,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2022-23,2021-22,21,18,5,false,1127,1144,17,1,62.611111111111114,63.55555555555556,,,,,,,1184,65.77777777777777,1039,57.72222222222222,0,0,0,0,3,55,7cfddefea05b,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2023-24,2022-23,21,18,5,false,1203,1001,18,2,66.83333333333333,55.611111111111114,,,,,,,994,55.22222222222222,885,49.166666666666664,0,0,0,0,3,55,5eab1a0518e8,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2024-25,2023-24,21,18,5,false,1013,1018,16,2,56.27777777777778,56.55555555555556,,,,,,,1018,56.55555555555556,883,49.05555555555556,0,0,0,0,3,55,c53159e22794,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2025-26,2024-25,21,18,5,false,1095,839,15,1,60.833333333333336,46.611111111111114,,,,,,,835,46.388888888888886,749,41.611111111111114,0,0,0,0,3,55,235793dc600a,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2020-21,2019-20,26,13,5,false,629,653,12,1,48.38461538461539,50.23076923076923,,,,,,,654,50.30769230769231,584,44.92307692307692,0,0,0,0,3,55,c618554cc914,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2021-22,2020-21,26,13,5,false,752,684,12,1,57.84615384615385,52.61538461538461,,,,,,,682,52.46153846153846,626,48.15384615384615,0,0,0,0,3,55,00e1b7fbad55,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2022-23,2021-22,26,13,5,false,813,814,12,1,62.53846153846154,62.61538461538461,,,,,,,835,64.23076923076923,733,56.38461538461539,0,0,0,0,3,55,2dcc6dd74ed0,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2023-24,2022-23,26,13,5,false,807,616,11,1,62.07692307692308,47.38461538461539,,,,,,,617,47.46153846153846,546,42,0,0,0,0,3,55,72c93b86408c,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2024-25,2023-24,26,13,5,false,655,649,12,1,50.38461538461539,49.92307692307692,,,,,,,649,49.92307692307692,576,44.30769230769231,0,0,0,0,3,55,6d4866106825,-,none
BLENDLO#1,1786721062-875311,BlendRateK=3,1,false,2025-26,2024-25,26,13,5,false,757,739,10,1,58.23076923076923,56.84615384615385,,,,,,,740,56.92307692307692,638,49.07692307692308,0,0,0,0,3,55,e11437c54d5d,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2020-21,2019-20,1,38,5,false,2094,1711,41,6,55.10526315789474,45.026315789473685,,,,,,,1711,45.026315789473685,1471,38.71052631578947,0,0,0,0,5,55,2aadee614ec1,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2021-22,2020-21,1,38,5,false,2185,1940,41,6,57.5,51.05263157894737,,,,,,,1987,52.28947368421053,1692,44.526315789473685,0,0,0,0,5,55,2ee4dc9e44a7,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2022-23,2021-22,1,38,5,false,2043,1842,43,6,53.76315789473684,48.473684210526315,,,,,,,1845,48.55263157894737,1582,41.63157894736842,0,0,0,0,5,55,fe5b3efc1102,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2023-24,2022-23,1,38,5,false,2303,1797,39,3,60.60526315789474,47.28947368421053,,,,,,,1780,46.8421052631579,1569,41.28947368421053,0,0,0,0,5,55,7df5f95f1759,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2024-25,2023-24,1,38,5,false,2419,1828,38,3,63.6578947368421,48.10526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,0,0,0,0,5,55,5062709cbae7,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2025-26,2024-25,1,38,5,false,2183,1514,36,1,57.44736842105263,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,0,0,0,0,5,55,cdb305de770a,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2020-21,2019-20,6,33,5,false,1844,1693,35,4,55.878787878787875,51.303030303030305,,,,,,,1683,51,1491,45.18181818181818,0,0,0,0,5,55,d46213ae4704,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2021-22,2020-21,6,33,5,false,1891,1624,38,7,57.303030303030305,49.21212121212121,,,,,,,1630,49.39393939393939,1415,42.878787878787875,0,0,0,0,5,55,7e973baba553,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2022-23,2021-22,6,33,5,false,1777,1550,32,3,53.84848484848485,46.96969696969697,,,,,,,1480,44.84848484848485,1349,40.878787878787875,0,0,0,0,5,55,06f8f01638c5,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2023-24,2022-23,6,33,5,false,2067,1697,31,1,62.63636363636363,51.42424242424242,,,,,,,1670,50.60606060606061,1452,44,0,0,0,0,5,55,9f1b172acdd0,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2024-25,2023-24,6,33,5,false,1968,1820,35,4,59.63636363636363,55.15151515151515,,,,,,,1706,51.696969696969695,1550,46.96969696969697,0,0,0,0,5,55,edfcfd27f053,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2025-26,2024-25,6,33,5,false,1871,1756,29,1,56.696969696969695,53.21212121212121,,,,,,,1721,52.15151515151515,1519,46.03030303030303,0,0,0,0,5,55,0dc2d2b17e58,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2020-21,2019-20,11,28,5,false,1604,1473,29,3,57.285714285714285,52.607142857142854,,,,,,,1481,52.892857142857146,1296,46.285714285714285,0,0,0,0,5,55,0b19fd9cb5d8,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2021-22,2020-21,11,28,5,false,1579,1647,31,5,56.392857142857146,58.82142857142857,,,,,,,1675,59.82142857142857,1487,53.107142857142854,0,0,0,0,5,55,de1a6a1838ea,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2022-23,2021-22,11,28,5,false,1628,1512,28,3,58.142857142857146,54,,,,,,,1524,54.42857142857143,1338,47.785714285714285,0,0,0,0,5,55,97ce7fa5cdc4,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2023-24,2022-23,11,28,5,false,1641,1482,27,2,58.607142857142854,52.92857142857143,,,,,,,1449,51.75,1291,46.107142857142854,0,0,0,0,5,55,55eb121587b6,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2024-25,2023-24,11,28,5,false,1796,1689,28,3,64.14285714285714,60.32142857142857,,,,,,,1689,60.32142857142857,1420,50.714285714285715,0,0,0,0,5,55,f9d9b9585356,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2025-26,2024-25,11,28,5,false,1569,1489,25,1,56.035714285714285,53.17857142857143,,,,,,,1461,52.17857142857143,1304,46.57142857142857,0,0,0,0,5,55,b5c18c2f39b5,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2020-21,2019-20,16,23,5,false,1283,1189,22,1,55.78260869565217,51.69565217391305,,,,,,,1155,50.21739130434783,1042,45.30434782608695,0,0,0,0,5,55,38103e5146cf,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2021-22,2020-21,16,23,5,false,1347,1233,27,6,58.56521739130435,53.608695652173914,,,,,,,1251,54.391304347826086,1126,48.95652173913044,0,0,0,0,5,55,5bb9a0e5e682,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2022-23,2021-22,16,23,5,false,1339,1101,21,1,58.21739130434783,47.869565217391305,,,,,,,1122,48.78260869565217,957,41.608695652173914,0,0,0,0,5,55,d11be323b45d,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2023-24,2022-23,16,23,5,false,1407,1077,23,2,61.17391304347826,46.82608695652174,,,,,,,1060,46.08695652173913,933,40.56521739130435,0,0,0,0,5,55,36f167db5055,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2024-25,2023-24,16,23,5,false,1468,1340,19,1,63.82608695652174,58.26086956521739,,,,,,,1340,58.26086956521739,1147,49.869565217391305,0,0,0,0,5,55,6d117ce349d9,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2025-26,2024-25,16,23,5,false,1327,1287,23,3,57.69565217391305,55.95652173913044,,,,,,,1288,56,1126,48.95652173913044,0,0,0,0,5,55,10fe01f707dc,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2020-21,2019-20,21,18,5,false,999,905,16,1,55.5,50.27777777777778,,,,,,,905,50.27777777777778,776,43.111111111111114,0,0,0,0,5,55,556769fe6cff,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2021-22,2020-21,21,18,5,false,1013,953,17,1,56.27777777777778,52.94444444444444,,,,,,,971,53.94444444444444,864,48,0,0,0,0,5,55,a131d6c7c832,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2022-23,2021-22,21,18,5,false,1119,1156,15,0,62.166666666666664,64.22222222222223,,,,,,,1171,65.05555555555556,1032,57.333333333333336,0,0,0,0,5,55,31d9909a9a64,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2023-24,2022-23,21,18,5,false,1090,913,18,1,60.55555555555556,50.72222222222222,,,,,,,909,50.5,800,44.44444444444444,0,0,0,0,5,55,5879fc9506cd,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2024-25,2023-24,21,18,5,false,1054,1057,16,2,58.55555555555556,58.72222222222222,,,,,,,1057,58.72222222222222,922,51.22222222222222,0,0,0,0,5,55,3090c8d0afb8,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2025-26,2024-25,21,18,5,false,1063,863,18,3,59.05555555555556,47.94444444444444,,,,,,,859,47.72222222222222,773,42.94444444444444,0,0,0,0,5,55,51f3fbdd6286,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2020-21,2019-20,26,13,5,false,669,660,12,1,51.46153846153846,50.76923076923077,,,,,,,660,50.76923076923077,593,45.61538461538461,0,0,0,0,5,55,9e10f072ee0b,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2021-22,2020-21,26,13,5,false,754,649,14,3,58,49.92307692307692,,,,,,,647,49.76923076923077,591,45.46153846153846,0,0,0,0,5,55,4cdea9a1a54c,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2022-23,2021-22,26,13,5,false,830,824,12,0,63.84615384615385,63.38461538461539,,,,,,,845,65,733,56.38461538461539,0,0,0,0,5,55,2dcc6dd74ed0,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2023-24,2022-23,26,13,5,false,790,616,11,1,60.76923076923077,47.38461538461539,,,,,,,617,47.46153846153846,546,42,0,0,0,0,5,55,72c93b86408c,-,none
BLENDLO#1,1786721062-875311,BlendRateK=5,2,false,2024-25,2023-24,26,13,5,false,695,671,11,0,53.46153846153846,51.61538461538461,,,,,,,671,51.61538461538461,598,46,0,0,0,0,5,55,21c838e9a0c1,-,none
