figure,value
model.defcon_bias.midfielders_lowest_third_by_defcon_rate.bias,0.1680
model.defcon_bias.midfielders_lowest_third_by_defcon_rate.bias_plus_term,0.2156
model.defcon_bias.midfielders_lowest_third_by_defcon_rate.bonus_per_90,0.3745
model.defcon_bias.midfielders_middle_by_defcon_rate.defcon_actions_per_90,8.4177
model.defcon_bias.midfielders_middle_by_defcon_rate.term,0.3009
model.defcon_bias.midfielders_middle_by_defcon_rate.bias,0.0989
model.defcon_bias.midfielders_middle_by_defcon_rate.bias_plus_term,0.3997
model.defcon_bias.midfielders_middle_by_defcon_rate.bonus_per_90,0.3300
model.defcon_bias.midfielders_highest_third_by_defcon_rate.defcon_actions_per_90,11.3068
model.defcon_bias.midfielders_highest_third_by_defcon_rate.term,0.9082
model.defcon_bias.midfielders_highest_third_by_defcon_rate.bias,0.0610
model.defcon_bias.midfielders_highest_third_by_defcon_rate.bias_plus_term,0.9692
model.defcon_bias.midfielders_highest_third_by_defcon_rate.bonus_per_90,0.2866
model.defcon_bias.forwards_lowest_third_by_defcon_rate.defcon_actions_per_90,3.1778
model.defcon_bias.forwards_lowest_third_by_defcon_rate.term,0.0003
model.defcon_bias.forwards_lowest_third_by_defcon_rate.bias,0.5841
model.defcon_bias.forwards_lowest_third_by_defcon_rate.bias_plus_term,0.5844
model.defcon_bias.forwards_lowest_third_by_defcon_rate.bonus_per_90,0.5773
model.defcon_bias.forwards_middle_by_defcon_rate.defcon_actions_per_90,4.5397
model.defcon_bias.forwards_middle_by_defcon_rate.term,0.0061
model.defcon_bias.forwards_middle_by_defcon_rate.bias,1.0197
model.defcon_bias.forwards_middle_by_defcon_rate.bias_plus_term,1.0258
model.defcon_bias.forwards_middle_by_defcon_rate.bonus_per_90,0.5918
model.defcon_bias.forwards_highest_third_by_defcon_rate.defcon_actions_per_90,5.7601
model.defcon_bias.forwards_highest_third_by_defcon_rate.term,0.0379
model.defcon_bias.forwards_highest_third_by_defcon_rate.bias,1.2361
model.defcon_bias.forwards_highest_third_by_defcon_rate.bias_plus_term,1.2740
model.defcon_bias.forwards_highest_third_by_defcon_rate.bonus_per_90,0.6122
model.next_five_predictors.minutes_season_to_date_flat.mean_absolute_error,23.7144
model.next_five_predictors.minutes_season_to_date_flat.root_mean_square_error,30.9043
model.next_five_predictors.minutes_season_to_date_flat.bias_predicted_minus_actual,-1.4325
model.next_five_predictors.minutes_last_3_gameweeks_flat.mean_absolute_error,23.8729
model.next_five_predictors.minutes_last_3_gameweeks_flat.root_mean_square_error,32.0270
model.next_five_predictors.minutes_last_3_gameweeks_flat.bias_predicted_minus_actual,5.3080
model.next_five_predictors.minutes_ewma_half_life_2.mean_absolute_error,22.0636
model.next_five_predictors.minutes_ewma_half_life_2.root_mean_square_error,28.9161
model.next_five_predictors.minutes_ewma_half_life_2.bias_predicted_minus_actual,4.2632
model.next_five_predictors.minutes_ewma_half_life_4.mean_absolute_error,22.1203
model.next_five_predictors.minutes_ewma_half_life_4.root_mean_square_error,28.6950
model.next_five_predictors.minutes_ewma_half_life_4.bias_predicted_minus_actual,2.5005
model.next_five_predictors.minutes_ewma_half_life_8.mean_absolute_error,22.5992
model.next_five_predictors.minutes_ewma_half_life_8.root_mean_square_error,29.2957
model.next_five_predictors.minutes_ewma_half_life_8.bias_predicted_minus_actual,0.7627
model.next_five_predictors.minutes_ewma_half_life_20.mean_absolute_error,23.1821
model.next_five_predictors.minutes_ewma_half_life_20.root_mean_square_error,30.1248
model.next_five_predictors.minutes_ewma_half_life_20.bias_predicted_minus_actual,-0.5453
model.next_five_predictors.points_season_to_date_flat.mean_absolute_error,1.3622
model.next_five_predictors.points_season_to_date_flat.root_mean_square_error,1.7995
model.next_five_predictors.points_season_to_date_flat.bias_predicted_minus_actual,-0.0543
model.next_five_predictors.points_last_3_gameweeks_flat.mean_absolute_error,1.6707
model.next_five_predictors.points_last_3_gameweeks_flat.root_mean_square_error,2.2497
model.next_five_predictors.points_last_3_gameweeks_flat.bias_predicted_minus_actual,0.2022
model.next_five_predictors.points_ewma_half_life_2.mean_absolute_error,1.4666
model.next_five_predictors.points_ewma_half_life_2.root_mean_square_error,1.9467
model.next_five_predictors.points_ewma_half_life_2.bias_predicted_minus_actual,0.1643
model.next_five_predictors.points_ewma_half_life_4.mean_absolute_error,1.3785
model.next_five_predictors.points_ewma_half_life_4.root_mean_square_error,1.8083
model.next_five_predictors.points_ewma_half_life_4.bias_predicted_minus_actual,0.0985
model.next_five_predictors.points_ewma_half_life_8.mean_absolute_error,1.3507
model.next_five_predictors.points_ewma_half_life_8.root_mean_square_error,1.7740
model.next_five_predictors.points_ewma_half_life_8.bias_predicted_minus_actual,0.0315
model.next_five_predictors.points_ewma_half_life_20.mean_absolute_error,1.3512
model.next_five_predictors.points_ewma_half_life_20.root_mean_square_error,1.7805
model.next_five_predictors.points_ewma_half_life_20.bias_predicted_minus_actual,-0.0196
model.next_five_predictors.expected_goals_assists_season_to_date_flat.mean_absolute_error,0.0856
model.next_five_predictors.expected_goals_assists_season_to_date_flat.root_mean_square_error,0.1347
model.next_five_predictors.expected_goals_assists_season_to_date_flat.bias_predicted_minus_actual,-0.0044
model.next_five_predictors.expected_goals_assists_last_3_gameweeks_flat.mean_absolute_error,0.1060
model.next_five_predictors.expected_goals_assists_last_3_gameweeks_flat.root_mean_square_error,0.1705
model.next_five_predictors.expected_goals_assists_last_3_gameweeks_flat.bias_predicted_minus_actual,0.0089
model.next_five_predictors.expected_goals_assists_ewma_half_life_2.mean_absolute_error,0.0929
model.next_five_predictors.expected_goals_assists_ewma_half_life_2.root_mean_square_error,0.1470
model.next_five_predictors.expected_goals_assists_ewma_half_life_2.bias_predicted_minus_actual,0.0071
model.next_five_predictors.expected_goals_assists_ewma_half_life_4.mean_absolute_error,0.0870
model.next_five_predictors.expected_goals_assists_ewma_half_life_4.root_mean_square_error,0.1359
model.next_five_predictors.expected_goals_assists_ewma_half_life_4.bias_predicted_minus_actual,0.0037
model.next_five_predictors.expected_goals_assists_ewma_half_life_8.mean_absolute_error,0.0851
model.next_five_predictors.expected_goals_assists_ewma_half_life_8.root_mean_square_error,0.1330
model.next_five_predictors.expected_goals_assists_ewma_half_life_8.bias_predicted_minus_actual,0.0001
model.next_five_predictors.expected_goals_assists_ewma_half_life_20.mean_absolute_error,0.0849
model.next_five_predictors.expected_goals_assists_ewma_half_life_20.root_mean_square_error,0.1334
model.next_five_predictors.expected_goals_assists_ewma_half_life_20.bias_predicted_minus_actual,-0.0025
model.prediction_benchmark.points_model_zeros.mean_absolute_error,1.4889
model.prediction_benchmark.points_model_zeros.root_mean_square_error,1.8112
model.prediction_benchmark.points_model_zeros.bias_predicted_minus_actual,1.4889
model.prediction_benchmark.points_model_zeros.error_sd,1.0314
model.prediction_benchmark.points_model_blanks.mean_absolute_error,1.1773
model.prediction_benchmark.points_model_blanks.root_mean_square_error,1.5706
model.prediction_benchmark.points_model_blanks.bias_predicted_minus_actual,0.9877
model.prediction_benchmark.points_model_blanks.error_sd,1.2211
model.prediction_benchmark.points_model_tickers.mean_absolute_error,1.1855
model.prediction_benchmark.points_model_tickers.root_mean_square_error,1.5475
model.prediction_benchmark.points_model_tickers.bias_predicted_minus_actual,-0.4586
model.prediction_benchmark.points_model_tickers.error_sd,1.4780
model.prediction_benchmark.points_model_haulers.mean_absolute_error,4.8955
model.prediction_benchmark.points_model_haulers.root_mean_square_error,5.7125
model.prediction_benchmark.points_model_haulers.bias_predicted_minus_actual,-4.8216
model.prediction_benchmark.points_model_haulers.error_sd,3.0636
model.prediction_benchmark.points_model_all_categories.mean_absolute_error,1.9747
model.prediction_benchmark.points_model_all_categories.root_mean_square_error,2.9193
model.prediction_benchmark.points_model_all_categories.bias_predicted_minus_actual,-0.1526
model.prediction_benchmark.points_model_all_categories.error_sd,2.9153
model.prediction_benchmark.points_naive_mean_of_last_5_gameweeks_zeros.mean_absolute_error,1.7385
model.prediction_benchmark.points_naive_mean_of_last_5_gameweeks_zeros.root_mean_square_error,2.2412
model.prediction_benchmark.points_naive_mean_of_last_5_gameweeks_zeros.bias_predicted_minus_actual,1.7338
model.prediction_benchmark.points_naive_mean_of_last_5_gameweeks_zeros.error_sd,1.4202
model.prediction_benchmark.points_naive_mean_of_last_5_gameweeks_blanks.mean_absolute_error,1.5998
model.prediction_benchmark.points_naive_mean_of_last_5_gameweeks_blanks.root_mean_square_error,2.1608
model.prediction_benchmark.points_naive_mean_of_last_5_gameweeks_blanks.bias_predicted_minus_actual,1.3280
model.prediction_benchmark.points_naive_mean_of_last_5_gameweeks_blanks.error_sd,1.7045
model.prediction_benchmark.points_naive_mean_of_last_5_gameweeks_tickers.mean_absolute_error,1.4622
model.prediction_benchmark.points_naive_mean_of_last_5_gameweeks_tickers.root_mean_square_error,1.8439
model.prediction_benchmark.points_naive_mean_of_last_5_gameweeks_tickers.bias_predicted_minus_actual,-0.2374
model.prediction_benchmark.points_naive_mean_of_last_5_gameweeks_tickers.error_sd,1.8286
model.prediction_benchmark.points_naive_mean_of_last_5_gameweeks_haulers.mean_absolute_error,4.7244
model.prediction_benchmark.points_naive_mean_of_last_5_gameweeks_haulers.root_mean_square_error,5.6636
model.prediction_benchmark.points_naive_mean_of_last_5_gameweeks_haulers.bias_predicted_minus_actual,-4.5656
model.prediction_benchmark.points_naive_mean_of_last_5_gameweeks_haulers.error_sd,3.3513
model.prediction_benchmark.points_naive_mean_of_last_5_gameweeks_all_categories.mean_absolute_error,2.2283
model.prediction_benchmark.points_naive_mean_of_last_5_gameweeks_all_categories.root_mean_square_error,3.1582
model.prediction_benchmark.points_naive_mean_of_last_5_gameweeks_all_categories.bias_predicted_minus_actual,0.1385
model.prediction_benchmark.points_naive_mean_of_last_5_gameweeks_all_categories.error_sd,3.1552
model.prediction_benchmark.points_naive_mean_of_season_to_date_zeros.mean_absolute_error,1.7253
model.prediction_benchmark.points_naive_mean_of_season_to_date_zeros.root_mean_square_error,2.1068
model.prediction_benchmark.points_naive_mean_of_season_to_date_zeros.bias_predicted_minus_actual,1.7244
model.prediction_benchmark.points_naive_mean_of_season_to_date_zeros.error_sd,1.2104
model.prediction_benchmark.points_naive_mean_of_season_to_date_blanks.mean_absolute_error,1.3056
model.prediction_benchmark.points_naive_mean_of_season_to_date_blanks.root_mean_square_error,1.7194
model.prediction_benchmark.points_naive_mean_of_season_to_date_blanks.bias_predicted_minus_actual,0.9923
model.prediction_benchmark.points_naive_mean_of_season_to_date_blanks.error_sd,1.4042
model.prediction_benchmark.points_naive_mean_of_season_to_date_tickers.mean_absolute_error,1.2487
model.prediction_benchmark.points_naive_mean_of_season_to_date_tickers.root_mean_square_error,1.5551
model.prediction_benchmark.points_naive_mean_of_season_to_date_tickers.bias_predicted_minus_actual,-0.6232
model.prediction_benchmark.points_naive_mean_of_season_to_date_tickers.error_sd,1.4248
model.prediction_benchmark.points_naive_mean_of_season_to_date_haulers.mean_absolute_error,4.9997
model.prediction_benchmark.points_naive_mean_of_season_to_date_haulers.root_mean_square_error,5.8700
model.prediction_benchmark.points_naive_mean_of_season_to_date_haulers.bias_predicted_minus_actual,-4.9489
model.prediction_benchmark.points_naive_mean_of_season_to_date_haulers.error_sd,3.1568
model.prediction_benchmark.points_naive_mean_of_season_to_date_all_categories.mean_absolute_error,2.1179
model.prediction_benchmark.points_naive_mean_of_season_to_date_all_categories.root_mean_square_error,3.0638
model.prediction_benchmark.points_naive_mean_of_season_to_date_all_categories.bias_predicted_minus_actual,-0.1344
model.prediction_benchmark.points_naive_mean_of_season_to_date_all_categories.error_sd,3.0609
model.prediction_benchmark.minutes_model_zeros.mean_absolute_error,40.3562
model.prediction_benchmark.minutes_model_zeros.root_mean_square_error,45.8372
model.prediction_benchmark.minutes_model_zeros.bias_predicted_minus_actual,40.3562
model.prediction_benchmark.minutes_model_zeros.error_sd,21.7354
model.prediction_benchmark.minutes_model_blanks.mean_absolute_error,23.6355
model.prediction_benchmark.minutes_model_blanks.root_mean_square_error,30.1044
model.prediction_benchmark.minutes_model_blanks.bias_predicted_minus_actual,-9.2010
model.prediction_benchmark.minutes_model_blanks.error_sd,28.6638
model.prediction_benchmark.minutes_model_tickers.mean_absolute_error,24.3788
model.prediction_benchmark.minutes_model_tickers.root_mean_square_error,31.8682
model.prediction_benchmark.minutes_model_tickers.bias_predicted_minus_actual,-19.8833
model.prediction_benchmark.minutes_model_tickers.error_sd,24.9045
model.prediction_benchmark.minutes_model_haulers.mean_absolute_error,24.0670
model.prediction_benchmark.minutes_model_haulers.root_mean_square_error,31.7287
model.prediction_benchmark.minutes_model_haulers.bias_predicted_minus_actual,-21.1326
model.prediction_benchmark.minutes_model_haulers.error_sd,23.6670
model.prediction_benchmark.minutes_model_all_categories.mean_absolute_error,27.7028
model.prediction_benchmark.minutes_model_all_categories.root_mean_square_error,34.8624
model.prediction_benchmark.minutes_model_all_categories.bias_predicted_minus_actual,-0.8496
model.prediction_benchmark.minutes_model_all_categories.error_sd,34.8520
model.prediction_benchmark.minutes_naive_mean_of_last_5_gameweeks_zeros.mean_absolute_error,45.4216
model.prediction_benchmark.minutes_naive_mean_of_last_5_gameweeks_zeros.root_mean_square_error,51.4807
model.prediction_benchmark.minutes_naive_mean_of_last_5_gameweeks_zeros.bias_predicted_minus_actual,45.4216
model.prediction_benchmark.minutes_naive_mean_of_last_5_gameweeks_zeros.error_sd,24.2310
model.prediction_benchmark.minutes_naive_mean_of_last_5_gameweeks_blanks.mean_absolute_error,22.7269
model.prediction_benchmark.minutes_naive_mean_of_last_5_gameweeks_blanks.root_mean_square_error,31.1256
model.prediction_benchmark.minutes_naive_mean_of_last_5_gameweeks_blanks.bias_predicted_minus_actual,-3.4653
model.prediction_benchmark.minutes_naive_mean_of_last_5_gameweeks_blanks.error_sd,30.9321
model.prediction_benchmark.minutes_naive_mean_of_last_5_gameweeks_tickers.mean_absolute_error,26.3241
model.prediction_benchmark.minutes_naive_mean_of_last_5_gameweeks_tickers.root_mean_square_error,39.3514
model.prediction_benchmark.minutes_naive_mean_of_last_5_gameweeks_tickers.bias_predicted_minus_actual,-19.6534
model.prediction_benchmark.minutes_naive_mean_of_last_5_gameweeks_tickers.error_sd,34.0922
model.prediction_benchmark.minutes_naive_mean_of_last_5_gameweeks_haulers.mean_absolute_error,25.9509
model.prediction_benchmark.minutes_naive_mean_of_last_5_gameweeks_haulers.root_mean_square_error,39.3383
model.prediction_benchmark.minutes_naive_mean_of_last_5_gameweeks_haulers.bias_predicted_minus_actual,-20.1541
model.prediction_benchmark.minutes_naive_mean_of_last_5_gameweeks_haulers.error_sd,33.7834
model.prediction_benchmark.minutes_naive_mean_of_last_5_gameweeks_all_categories.mean_absolute_error,28.9883
model.prediction_benchmark.minutes_naive_mean_of_last_5_gameweeks_all_categories.root_mean_square_error,39.0688
model.prediction_benchmark.minutes_naive_mean_of_last_5_gameweeks_all_categories.bias_predicted_minus_actual,3.3194
model.prediction_benchmark.minutes_naive_mean_of_last_5_gameweeks_all_categories.error_sd,38.9275
model.prediction_benchmark.minutes_naive_mean_of_season_to_date_zeros.mean_absolute_error,43.3961
model.prediction_benchmark.minutes_naive_mean_of_season_to_date_zeros.root_mean_square_error,49.4811
model.prediction_benchmark.minutes_naive_mean_of_season_to_date_zeros.bias_predicted_minus_actual,43.3961
model.prediction_benchmark.minutes_naive_mean_of_season_to_date_zeros.error_sd,23.7729
model.prediction_benchmark.minutes_naive_mean_of_season_to_date_blanks.mean_absolute_error,25.9471
model.prediction_benchmark.minutes_naive_mean_of_season_to_date_blanks.root_mean_square_error,33.8268
model.prediction_benchmark.minutes_naive_mean_of_season_to_date_blanks.bias_predicted_minus_actual,-12.2306
model.prediction_benchmark.minutes_naive_mean_of_season_to_date_blanks.error_sd,31.5383
model.prediction_benchmark.minutes_naive_mean_of_season_to_date_tickers.mean_absolute_error,31.5593
model.prediction_benchmark.minutes_naive_mean_of_season_to_date_tickers.root_mean_square_error,44.4734
model.prediction_benchmark.minutes_naive_mean_of_season_to_date_tickers.bias_predicted_minus_actual,-27.9899
model.prediction_benchmark.minutes_naive_mean_of_season_to_date_tickers.error_sd,34.5609
model.prediction_benchmark.minutes_naive_mean_of_season_to_date_haulers.mean_absolute_error,31.2908
model.prediction_benchmark.minutes_naive_mean_of_season_to_date_haulers.root_mean_square_error,44.7631
model.prediction_benchmark.minutes_naive_mean_of_season_to_date_haulers.bias_predicted_minus_actual,-28.8760
model.prediction_benchmark.minutes_naive_mean_of_season_to_date_haulers.error_sd,34.2040
model.prediction_benchmark.minutes_naive_mean_of_season_to_date_all_categories.mean_absolute_error,31.5689
model.prediction_benchmark.minutes_naive_mean_of_season_to_date_all_categories.root_mean_square_error,41.1140
model.prediction_benchmark.minutes_naive_mean_of_season_to_date_all_categories.bias_predicted_minus_actual,-3.8205
model.prediction_benchmark.minutes_naive_mean_of_season_to_date_all_categories.error_sd,40.9361
model.prediction_benchmark.expected_goals_assists_model_zeros.mean_absolute_error,0.0863
model.prediction_benchmark.expected_goals_assists_model_zeros.root_mean_square_error,0.1333
model.prediction_benchmark.expected_goals_assists_model_zeros.bias_predicted_minus_actual,0.0863
model.prediction_benchmark.expected_goals_assists_model_zeros.error_sd,0.1016
model.prediction_benchmark.expected_goals_assists_model_blanks.mean_absolute_error,0.1130
model.prediction_benchmark.expected_goals_assists_model_blanks.root_mean_square_error,0.1747
model.prediction_benchmark.expected_goals_assists_model_blanks.bias_predicted_minus_actual,0.0292
model.prediction_benchmark.expected_goals_assists_model_blanks.error_sd,0.1722
model.prediction_benchmark.expected_goals_assists_model_tickers.mean_absolute_error,0.1339
model.prediction_benchmark.expected_goals_assists_model_tickers.root_mean_square_error,0.2108
model.prediction_benchmark.expected_goals_assists_model_tickers.bias_predicted_minus_actual,-0.0107
model.prediction_benchmark.expected_goals_assists_model_tickers.error_sd,0.2105
model.prediction_benchmark.expected_goals_assists_model_haulers.mean_absolute_error,0.2351
model.prediction_benchmark.expected_goals_assists_model_haulers.root_mean_square_error,0.3867
model.prediction_benchmark.expected_goals_assists_model_haulers.bias_predicted_minus_actual,-0.1662
model.prediction_benchmark.expected_goals_assists_model_haulers.error_sd,0.3492
model.prediction_benchmark.expected_goals_assists_model_all_categories.mean_absolute_error,0.1324
model.prediction_benchmark.expected_goals_assists_model_all_categories.root_mean_square_error,0.2278
model.prediction_benchmark.expected_goals_assists_model_all_categories.bias_predicted_minus_actual,0.0011
model.prediction_benchmark.expected_goals_assists_model_all_categories.error_sd,0.2278
model.prediction_benchmark.expected_goals_assists_naive_mean_of_last_5_gameweeks_zeros.mean_absolute_error,0.0889
model.prediction_benchmark.expected_goals_assists_naive_mean_of_last_5_gameweeks_zeros.root_mean_square_error,0.1560
model.prediction_benchmark.expected_goals_assists_naive_mean_of_last_5_gameweeks_zeros.bias_predicted_minus_actual,0.0889
model.prediction_benchmark.expected_goals_assists_naive_mean_of_last_5_gameweeks_zeros.error_sd,0.1282
model.prediction_benchmark.expected_goals_assists_naive_mean_of_last_5_gameweeks_blanks.mean_absolute_error,0.1240
model.prediction_benchmark.expected_goals_assists_naive_mean_of_last_5_gameweeks_blanks.root_mean_square_error,0.1949
model.prediction_benchmark.expected_goals_assists_naive_mean_of_last_5_gameweeks_blanks.bias_predicted_minus_actual,0.0366
model.prediction_benchmark.expected_goals_assists_naive_mean_of_last_5_gameweeks_blanks.error_sd,0.1914
model.prediction_benchmark.expected_goals_assists_naive_mean_of_last_5_gameweeks_tickers.mean_absolute_error,0.1450
model.prediction_benchmark.expected_goals_assists_naive_mean_of_last_5_gameweeks_tickers.root_mean_square_error,0.2266
model.prediction_benchmark.expected_goals_assists_naive_mean_of_last_5_gameweeks_tickers.bias_predicted_minus_actual,-0.0103
model.prediction_benchmark.expected_goals_assists_naive_mean_of_last_5_gameweeks_tickers.error_sd,0.2263
model.prediction_benchmark.expected_goals_assists_naive_mean_of_last_5_gameweeks_haulers.mean_absolute_error,0.2457
model.prediction_benchmark.expected_goals_assists_naive_mean_of_last_5_gameweeks_haulers.root_mean_square_error,0.3987
model.prediction_benchmark.expected_goals_assists_naive_mean_of_last_5_gameweeks_haulers.bias_predicted_minus_actual,-0.1620
model.prediction_benchmark.expected_goals_assists_naive_mean_of_last_5_gameweeks_haulers.error_sd,0.3643
model.prediction_benchmark.expected_goals_assists_naive_mean_of_last_5_gameweeks_all_categories.mean_absolute_error,0.1413
model.prediction_benchmark.expected_goals_assists_naive_mean_of_last_5_gameweeks_all_categories.root_mean_square_error,0.2439
model.prediction_benchmark.expected_goals_assists_naive_mean_of_last_5_gameweeks_all_categories.bias_predicted_minus_actual,0.0061
model.prediction_benchmark.expected_goals_assists_naive_mean_of_last_5_gameweeks_all_categories.error_sd,0.2438
model.prediction_benchmark.expected_goals_assists_naive_mean_of_season_to_date_zeros.mean_absolute_error,0.0890
model.prediction_benchmark.expected_goals_assists_naive_mean_of_season_to_date_zeros.root_mean_square_error,0.1459
model.prediction_benchmark.expected_goals_assists_naive_mean_of_season_to_date_zeros.bias_predicted_minus_actual,0.0890
model.prediction_benchmark.expected_goals_assists_naive_mean_of_season_to_date_zeros.error_sd,0.1157
model.prediction_benchmark.expected_goals_assists_naive_mean_of_season_to_date_blanks.mean_absolute_error,0.1105
model.prediction_benchmark.expected_goals_assists_naive_mean_of_season_to_date_blanks.root_mean_square_error,0.1757
model.prediction_benchmark.expected_goals_assists_naive_mean_of_season_to_date_blanks.bias_predicted_minus_actual,0.0187
model.prediction_benchmark.expected_goals_assists_naive_mean_of_season_to_date_blanks.error_sd,0.1747
model.prediction_benchmark.expected_goals_assists_naive_mean_of_season_to_date_tickers.mean_absolute_error,0.1329
model.prediction_benchmark.expected_goals_assists_naive_mean_of_season_to_date_tickers.root_mean_square_error,0.2146
model.prediction_benchmark.expected_goals_assists_naive_mean_of_season_to_date_tickers.bias_predicted_minus_actual,-0.0321
model.prediction_benchmark.expected_goals_assists_naive_mean_of_season_to_date_tickers.error_sd,0.2122
model.prediction_benchmark.expected_goals_assists_naive_mean_of_season_to_date_haulers.mean_absolute_error,0.2447
model.prediction_benchmark.expected_goals_assists_naive_mean_of_season_to_date_haulers.root_mean_square_error,0.4027
model.prediction_benchmark.expected_goals_assists_naive_mean_of_season_to_date_haulers.bias_predicted_minus_actual,-0.1836
model.prediction_benchmark.expected_goals_assists_naive_mean_of_season_to_date_haulers.error_sd,0.3584
model.prediction_benchmark.expected_goals_assists_naive_mean_of_season_to_date_all_categories.mean_absolute_error,0.1335
model.prediction_benchmark.expected_goals_assists_naive_mean_of_season_to_date_all_categories.root_mean_square_error,0.2356
model.prediction_benchmark.expected_goals_assists_naive_mean_of_season_to_date_all_categories.bias_predicted_minus_actual,-0.0087
model.prediction_benchmark.expected_goals_assists_naive_mean_of_season_to_date_all_categories.error_sd,0.2355
model.prediction_calibration.predicted_under_1_0.predicted,0.6460
model.prediction_calibration.predicted_under_1_0.actual,0.8608
model.prediction_calibration.predicted_under_1_0.ratio,1.3326
model.prediction_calibration.predicted_1_0_to_2_0.predicted,1.5181
model.prediction_calibration.predicted_1_0_to_2_0.actual,1.7769
model.prediction_calibration.predicted_1_0_to_2_0.ratio,1.1705
model.prediction_calibration.predicted_2_0_to_3_0.predicted,2.4685
model.prediction_calibration.predicted_2_0_to_3_0.actual,2.7077
model.prediction_calibration.predicted_2_0_to_3_0.ratio,1.0969
model.prediction_calibration.predicted_3_0_to_4_0.predicted,3.4125
model.prediction_calibration.predicted_3_0_to_4_0.actual,3.4517
